msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
buenos dias todos  comenzamos miercoles con temperatura       ciudad san luis  maxima pronosticada      tarde anuncian tormentas  compartimos nuestros titulos arrancar dia bien informados   ;0;buen dias tod comenz miercol con temperatur ciud san luis maxim pronostic tard anunci torment compart nuestr titul arranc dia bien inform;bueno dia todo comenzamo miercole con temperatura ciudad san lui maxima pronosticada tarde anuncian tormenta compartimo nuestro titulo arrancar dia bien informado;buenos dias todos comenzamos miercoles con temperatura ciudad san luis maxima pronosticada tarde anuncian tormentas compartimos nuestros titulos arrancar dia bien informados;                                           
 hacias viajando colectivo  mañana llueve ;0;haci viaj colect mañan lluev;hacia viajando colectivo mañana llueve;hacias viajando colectivo mañana llueve;         
ya tormenta ya concha madre  \U0001f644 ;1;ya torment ya conch madr \u0001f644;ya tormenta ya concha madre \u0001f644;ya tormenta ya concha madre  ;          \U0001f644
hola  no gustan tormentas  queres venir dormir conmigo   hago pororo muy ricos  pensalo  enviar ;0;hol no gust torment quer ven dorm conmig hag poror muy ric pensal envi;hola no gustan tormenta quere venir dormir conmigo hago pororo muy rico pensalo enviar;hola no gustan tormentas queres venir dormir conmigo hago pororo muy ricos pensalo enviar;                           
lluvia arboles chapas skere ;0;lluvi arbol chap sker;lluvia arbole chapa skere;lluvia arboles chapas skere;       
quiero estar yendo algun lado morir camino  choque cole  caiga rayo  alguien mate  sea pero ya entienden ustedes voy ;0;quier estar yend algun lad mor camin choqu col caig ray algui mat sea per ya entiend usted voy;quiero estar yendo algun lado morir camino choque cole caiga rayo alguien mate sea pero ya entienden ustede voy;quiero estar yendo algun lado morir camino choque cole caiga rayo alguien mate sea pero ya entienden ustedes voy;                                     
gracias tanto lluvia ;0;graci tant lluvi;gracia tanto lluvia;gracias tanto lluvia;     
la tormenta interminable podria hacer refresque poco  no  ;1;la torment intermin podri hac refresqu poc no;la tormenta interminable podria hacer refresque poco no;la tormenta interminable podria hacer refresque poco no;               
yo emocion anoche esperando lluvia estrellas cago lloviendo ni bosta  ;0;yo emocion anoch esper lluvi estrell cag llov ni bost;yo emocion anoche esperando lluvia estrella cago lloviendo ni bosta;yo emocion anoche esperando lluvia estrellas cago lloviendo ni bosta;                   
de donde salio lluvia igual mejor llueva toda noche ;1;de dond sali lluvi igual mejor lluev tod noch;de donde salio lluvia igual mejor llueva toda noche;de donde salio lluvia igual mejor llueva toda noche;                 
que dia orto  solo rescato lluvia cumple mari  nada mas ;0;que dia orto sol rescat lluvi cumpl mari nad mas;que dia orto solo rescato lluvia cumple mari nada mas;que dia orto solo rescato lluvia cumple mari nada mas;                   
que ganas joder lluvia  ;1;que gan jod lluvi;que gana joder lluvia;que ganas joder lluvia;       
con tormenta pretenden estudie final mañana puta madre pario  \U0001f975 \U0001f97a ;1;con torment pretend estudi final mañan put madr pari \u0001f975 \u0001f97;con tormenta pretenden estudie final mañana puta madre pario \u0001f975 \u0001f97a;con tormenta pretenden estudie final mañana puta madre pario    ;                  \U0001f975 \U0001f97a
wacho no puedo estar tan enamorada trueno wacho hermoso ;0;wach no pued estar tan enamor truen wach hermos;wacho no puedo estar tan enamorada trueno wacho hermoso;wacho no puedo estar tan enamorada trueno wacho hermoso;                 
me aprecie chomaso llueva porque algunos compañeros cuando llueve no van colegio  porque no pueden yo  chomaso no vayan estos ultimos dias ;0;me apreci chomas lluev porqu algun compañer cuand lluev no van colegi porqu no pued yo chomas no vay estos ultim dias;me aprecie chomaso llueva porque alguno compañero cuando llueve no van colegio porque no pueden yo chomaso no vayan esto ultimo dia;me aprecie chomaso llueva porque algunos compañeros cuando llueve no van colegio porque no pueden yo chomaso no vayan estos ultimos dias;                                           
pero hermosa lluvia  \U0001f63b ;1;per hermos lluvi \u0001f63b;pero hermosa lluvia \u0001f63b;pero hermosa lluvia  ;      \U0001f63b
lluvia besos garchar      \u2661 ;0;lluvi bes garch \u2661;lluvia beso garchar \u2661;lluvia besos garchar  ;      \u2661
 \U0001f5de primavera resiste  tras dos dias sol  vuelven lluvia frio      rosario   ;0;\u0001f5d primaver res tras dos dias sol vuelv lluvi fri rosari;\u0001f5de primavera resiste tra do dia sol vuelven lluvia frio rosario;  primavera resiste tras dos dias sol vuelven lluvia frio rosario;\U0001f5de                    
 vida no esperar pase tormenta  aprender bailar bajo lluvia  cordoba  argentina  ;0;vid no esper pas torment aprend bail baj lluvi cordob argentin;vida no esperar pase tormenta aprender bailar bajo lluvia cordoba argentina;vida no esperar pase tormenta aprender bailar bajo lluvia cordoba argentina;                     
mi perra tiene miedo truenos amo ;0;mi perr tien mied truen amo;mi perra tiene miedo trueno amo;mi perra tiene miedo truenos amo;           
objetivo  dormir tranquila aprovechar llueve especial  dificultad  ida final pensar si juega hoy sabado  ;0;objet dorm tranquil aprovech lluev especial dificult ida final pens si jueg hoy sab;objetivo dormir tranquila aprovechar llueve especial dificultad ida final pensar si juega hoy sabado;objetivo dormir tranquila aprovechar llueve especial dificultad ida final pensar si juega hoy sabado;                           
a clase persona relaja tipo tormentas parece van volar casa  escuchas piedras techo  ponen nervioso    leo twitter ponen esas cosas no entiendo  ;0;a clas person relaj tip torment parec van vol cas escuch piedr tech pon nervios leo twitt pon esas cos no entiend;a clase persona relaja tipo tormenta parece van volar casa escucha piedra techo ponen nervioso leo twitter ponen esa cosa no entiendo;a clase persona relaja tipo tormentas parece van volar casa escuchas piedras techo ponen nervioso leo twitter ponen esas cosas no entiendo;                                           
me encanta olor lluvia  \U0001f60d \U0001f603 ;0;me encant olor lluvi \u0001f60d \u0001f603;me encanta olor lluvia \u0001f60d \u0001f603;me encanta olor lluvia    ;        \U0001f60d \U0001f603
yo creo truenos estan mas no ;0;yo cre truen estan mas no;yo creo trueno estan mas no;yo creo truenos estan mas no;           
los dias lluvia \U0001f4af ;0;los dias lluvi \u0001f4af;lo dia lluvia \u0001f4af;los dias lluvia  ;      \U0001f4af
necesito novio dias lluvias ;0;necesit novi dias lluvi;necesito novio dia lluvia;necesito novio dias lluvias;       
truenos chotos ;1;truen chot;trueno choto;truenos chotos;   
me pueden explicar pinchila hace    grados hay sol toda semana justo finde llueve clima ogt ;0;me pued explic pinchil hac grad hay sol tod seman just find lluev clim ogt;me pueden explicar pinchila hace grado hay sol toda semana justo finde llueve clima ogt;me pueden explicar pinchila hace grados hay sol toda semana justo finde llueve clima ogt;                             
  total  ellos tienen custodia  pueblo parta rayo nos acribillen celular  no importamos    ;0;total ellos tien custodi puebl part ray nos acribill celul no import;total ello tienen custodia pueblo parta rayo no acribillen celular no importamo;total ellos tienen custodia pueblo parta rayo nos acribillen celular no importamos;                       
hoy fue primer dia serio vacaciones  todo debo lluvia  ;1;hoy fue prim dia seri vacacion tod deb lluvi;hoy fue primer dia serio vacacione todo debo lluvia;hoy fue primer dia serio vacaciones todo debo lluvia;                 
que tormenta culiado dan alto cagazo esos truenos ;1;que torment culi dan alto cagaz esos truen;que tormenta culiado dan alto cagazo eso trueno;que tormenta culiado dan alto cagazo esos truenos;               
que hermosa lluvia  \U0001f495 ;1;que hermos lluvi \u0001f495;que hermosa lluvia \u0001f495;que hermosa lluvia  ;      \U0001f495
justo semana necesito sol  asi bye lluvia ;0;just seman necesit sol asi bye lluvi;justo semana necesito sol asi bye lluvia;justo semana necesito sol asi bye lluvia;             
como olvidar noche silvia corto luz nos corrio medio toda tormenta  \U0001f602 igual nos fuimos estuvimos joda hasta  am  toma para vos ;0;com olvid noch silvi cort luz nos corri medi tod torment \u0001f602 igual nos fuim estuv jod hast am tom par vos;como olvidar noche silvia corto luz no corrio medio toda tormenta \u0001f602 igual no fuimo estuvimo joda hasta am toma para vo;como olvidar noche silvia corto luz nos corrio medio toda tormenta   igual nos fuimos estuvimos joda hasta am toma para vos;                      \U0001f602                    
necesitaba correr bajo lluvia hermosura  \U0001f327  \U0001f44c ;0;necesit corr baj lluvi hermosur \u0001f327 \u0001f44c;necesitaba correr bajo lluvia hermosura \u0001f327 \u0001f44c;necesitaba correr bajo lluvia hermosura    ;          \U0001f327 \U0001f44c
  horas caminando rayo sol no terminarme comprando nada ;0;hor camin ray sol no termin compr nad;hora caminando rayo sol no terminarme comprando nada;horas caminando rayo sol no terminarme comprando nada;               
cocine vino tormenta  \U0001f602 \U0001f602 \U0001f602 ;0;cocin vin torment \u0001f602 \u0001f602 \u0001f602;cocine vino tormenta \u0001f602 \u0001f602 \u0001f602;cocine vino tormenta      ;      \U0001f602 \U0001f602 \U0001f602
esta lluvia hace tener mas sueño  \U0001f4a4 dormir ;1;esta lluvi hac ten mas sueñ \u0001f4a4 dorm;esta lluvia hace tener mas sueño \u0001f4a4 dormir;esta lluvia hace tener mas sueño   dormir;            \U0001f4a4  
no se si llueve ;0;no se si lluev;no se si llueve;no se si llueve;       
noche lluvia pide gritos maraton grey anatomy ;1;noch lluvi pid grit maraton grey anatomy;noche lluvia pide grito maraton grey anatomy;noche lluvia pide gritos maraton grey anatomy;             
no  escucha esos truenos  \U0001f60d ;1;no escuch esos truen \u0001f60d;no escucha eso trueno \u0001f60d;no escucha esos truenos  ;        \U0001f60d
ay tormenta \U0001f49c ;1;ay torment \u0001f49c;ay tormenta \u0001f49c;ay tormenta  ;    \U0001f49c
esta lluvia mierda no quieren parar   sinas  sinas no paran llorar  ;1;esta lluvi mierd no quier par sin sin no par llor;esta lluvia mierda no quieren parar sina sina no paran llorar;esta lluvia mierda no quieren parar sinas sinas no paran llorar;                     
que hace cuando hay tormenta     ;0;que hac cuand hay torment;que hace cuando hay tormenta;que hace cuando hay tormenta;         
esta lluvia hermosa quedarse mirando tele todo dia ;1;esta lluvi hermos qued mir tel tod dia;esta lluvia hermosa quedarse mirando tele todo dia;esta lluvia hermosa quedarse mirando tele todo dia;               
hoy voy tomar hasta rehenes si llueve agua lluvia tambien ;0;hoy voy tom hast rehen si lluev agu lluvi tambi;hoy voy tomar hasta rehene si llueve agua lluvia tambien;hoy voy tomar hasta rehenes si llueve agua lluvia tambien;                   
mucho trueno mucho trueno no va caer ni sola gota acordate digo ;0;much truen much truen no va caer ni sol got acordat dig;mucho trueno mucho trueno no va caer ni sola gota acordate digo;mucho trueno mucho trueno no va caer ni sola gota acordate digo;                       
que garron mudarse garron mudarse con lluvia  ;0;que garron mud garron mud con lluvi;que garron mudarse garron mudarse con lluvia;que garron mudarse garron mudarse con lluvia;             
 noticias      max    algo nublado humedo e inestable con probables precipitaciones tormentas dispersas  neblinas bancos niebla mañana viento leve moderado sector norte cambiando sur  poco cambio temperatura   ;0;notici max algo nubl humed e inest con probabl precipit torment dispers neblin banc niebl mañan vient lev moder sector nort cambi sur poc cambi temperatur;noticia max algo nublado humedo e inestable con probable precipitacione tormenta dispersa neblina banco niebla mañana viento leve moderado sector norte cambiando sur poco cambio temperatura;noticias max algo nublado humedo e inestable con probables precipitaciones tormentas dispersas neblinas bancos niebla mañana viento leve moderado sector norte cambiando sur poco cambio temperatura;                                                   
buen dia    mirando pajaritos lluvia   martes  ;1;buen dia mir pajarit lluvi mart;buen dia mirando pajarito lluvia marte;buen dia mirando pajaritos lluvia martes;           
por dios esos truenos ojala pegue uno ;1;por dios esos truen ojal peg uno;por dio eso trueno ojala pegue uno;por dios esos truenos ojala pegue uno;             
como no puede gustar lluvia  mas hermoso tranquilo ;1;com no pued gust lluvi mas hermos tranquil;como no puede gustar lluvia mas hermoso tranquilo;como no puede gustar lluvia mas hermoso tranquilo;               
quiero prestarte atencion   importas mucho como dejarte mucho tiempo   sali pagar unas cosas volvi lluvia   pongo pensar todo esto nos pasa no quiero pase mas dia   podamos sentir todo tenemos nuestro interior ;0;quier prestart atencion import much com dejart much tiemp sali pag unas cos volvi lluvi pong pens tod esto nos pas no quier pas mas dia pod sent tod ten nuestr interior;quiero prestarte atencion importa mucho como dejarte mucho tiempo sali pagar una cosa volvi lluvia pongo pensar todo esto no pasa no quiero pase mas dia podamo sentir todo tenemo nuestro interior;quiero prestarte atencion importas mucho como dejarte mucho tiempo sali pagar unas cosas volvi lluvia pongo pensar todo esto nos pasa no quiero pase mas dia podamos sentir todo tenemos nuestro interior;                                                               
esta lluvia si  ;1;esta lluvi si;esta lluvia si;esta lluvia si;     
ahora tipica lluvia doce noche pleno brindis  felices fiestas todos  \U0001f389 ;0;ahor tipic lluvi doc noch plen brindis felic fiest tod \u0001f389;ahora tipica lluvia doce noche pleno brindi felice fiesta todo \u0001f389;ahora tipica lluvia doce noche pleno brindis felices fiestas todos  ;                    \U0001f389
llueve todo pais menos aca  lpm fallo maldicion gitana ;0;lluev tod pais men aca lpm fall maldicion gitan;llueve todo pai meno aca lpm fallo maldicion gitana;llueve todo pais menos aca lpm fallo maldicion gitana;                 
 santa fe  explico quintas estaban sembradas pleno  ultimas lluvias  cayeron      complicaron poco quinteros perdieron casi     produccion     ;0;sant fe explic quint estab sembr plen ultim lluvi cayeron complic poc quinter perd casi produccion;santa fe explico quinta estaban sembrada pleno ultima lluvia cayeron complicaron poco quintero perdieron casi produccion;santa fe explico quintas estaban sembradas pleno ultimas lluvias cayeron complicaron poco quinteros perdieron casi produccion;                               
que lastima gente tiene ir trabajar si si con tormenta   yo disculpenme no voy cursar ni pedo ;1;que lastim gent tien ir trabaj si si con torment yo disculpenm no voy curs ni ped;que lastima gente tiene ir trabajar si si con tormenta yo disculpenme no voy cursar ni pedo;que lastima gente tiene ir trabajar si si con tormenta yo disculpenme no voy cursar ni pedo;                                 
porque siempre llueve cuando tengo quedarme toda noche despierta estudiando  ;1;porqu siempr lluev cuand teng qued tod noch despiert estudi;porque siempre llueve cuando tengo quedarme toda noche despierta estudiando;porque siempre llueve cuando tengo quedarme toda noche despierta estudiando;                   
lluvia culiada no puedo volver laburo ;1;lluvi culi no pued volv labur;lluvia culiada no puedo volver laburo;lluvia culiada no puedo volver laburo;           
escucha como llueve yo tengo ir colegio  \U0001f644 ;1;escuch com lluev yo teng ir colegi \u0001f644;escucha como llueve yo tengo ir colegio \u0001f644;escucha como llueve yo tengo ir colegio  ;              \U0001f644
 buenos  llueve viso pero ahora calmo viento habia levantado eso desperte  ;0;buen lluev vis per ahor calm vient habi levant eso despert;bueno llueve viso pero ahora calmo viento habia levantado eso desperte;buenos llueve viso pero ahora calmo viento habia levantado eso desperte;                     
como gustaria con lluvia crezca mantenga agua rio sierra   ;1;com gustari con lluvi crezc manteng agu rio sierr;como gustaria con lluvia crezca mantenga agua rio sierra;como gustaria con lluvia crezca mantenga agua rio sierra;                 
 callate bofe habla lluvia ;0;callat bof habl lluvi;callate bofe habla lluvia;callate bofe habla lluvia;       
 federala debido lluvia caida madrugada hubo cambio planes  racing cordoba  plantel mostaza merlo entrenara    horas predio   ;0;federal deb lluvi caid madrug hub cambi plan racing cordob plantel mostaz merl entren hor predi;federala debido lluvia caida madrugada hubo cambio plane racing cordoba plantel mostaza merlo entrenara hora predio;federala debido lluvia caida madrugada hubo cambio planes racing cordoba plantel mostaza merlo entrenara horas predio;                               
que lindo escuchar lluvia  \U0001f60d ;1;que lind escuch lluvi \u0001f60d;que lindo escuchar lluvia \u0001f60d;que lindo escuchar lluvia  ;        \U0001f60d
lluvia lpm mil pario ;1;lluvi lpm mil pari;lluvia lpm mil pario;lluvia lpm mil pario;       
que lindo fue levantarse  sentir olor humedo ruido lluvia \U0001f60d escuela quien juna hoy \U0001f602  ;0;que lind fue levant sent olor humed ruid lluvi \u0001f60d escuel qui jun hoy \u0001f602;que lindo fue levantarse sentir olor humedo ruido lluvia \u0001f60d escuela quien juna hoy \u0001f602;que lindo fue levantarse sentir olor humedo ruido lluvia   escuela quien juna hoy  ;                  \U0001f60d         \U0001f602
lo unico quiero bañarme con agua caliente despues estar    min esperando bondi abajo lluvia lpm ;0;lo unic quier bañ con agu calient despu estar min esper bondi abaj lluvi lpm;lo unico quiero bañarme con agua caliente despue estar min esperando bondi abajo lluvia lpm;lo unico quiero bañarme con agua caliente despues estar min esperando bondi abajo lluvia lpm;                             
 santa fe   \u2614 continuan lluvias durante todo lunes   ;0;sant fe \u2614 continu lluvi durant tod lun;santa fe \u2614 continuan lluvia durante todo lune;santa fe   continuan lluvias durante todo lunes;    \u2614          
primera vez coincidimos con papa chicos  con razon tanta lluvia        \U0001f919 ;1;primer vez coincid con pap chic con razon tant lluvi \u0001f919;primera vez coincidimo con papa chico con razon tanta lluvia \u0001f919;primera vez coincidimos con papa chicos con razon tanta lluvia  ;                    \U0001f919
truenos lluvia  \U0001f924 \u26c8 ;1;truen lluvi \u0001f924 \u26c8;trueno lluvia \u0001f924 \u26c8;truenos lluvia    ;    \U0001f924 \u26c8
a sobrina papa noel trajo rayo mcqueen cars   usa bombacha  lleva baño hace parado  pone protector solar come chocolates con ella ;0;a sobrin pap noel traj ray mcqu cars usa bombach llev bañ hac par pon protector sol com chocolat con ella;a sobrina papa noel trajo rayo mcqueen car usa bombacha lleva baño hace parado pone protector solar come chocolate con ella;a sobrina papa noel trajo rayo mcqueen cars usa bombacha lleva baño hace parado pone protector solar come chocolates con ella;                                         
 granizo pequeño barrio villa cabrera   cordoba capital ;1;graniz pequeñ barri vill cabrer cordob capital;granizo pequeño barrio villa cabrera cordoba capital;granizo pequeño barrio villa cabrera cordoba capital;             
que tormenta presiento ;1;que torment presient;que tormenta presiento;que tormenta presiento;     
la puta madre no fui rendir  maldita lluvia traicionera ;1;la put madr no fui rend maldit lluvi traicioner;la puta madre no fui rendir maldita lluvia traicionera;la puta madre no fui rendir maldita lluvia traicionera;                 
gente  llueve desde nacimos  ya cansa foto tormenta todas semanas ;0;gent lluev desd nac ya cans fot torment tod seman;gente llueve desde nacimo ya cansa foto tormenta toda semana;gente llueve desde nacimos ya cansa foto tormenta todas semanas;                   
me gusta verano cuando llueve muy fresquito  sea no gusta verano  ;0;me gust veran cuand lluev muy fresquit sea no gust veran;me gusta verano cuando llueve muy fresquito sea no gusta verano;me gusta verano cuando llueve muy fresquito sea no gusta verano;                     
 claro    cuando vimos tormenta electrica tuvimos apagarlo  \U0001f62c \U0001f62c \U0001f62c horno    siesta   dios    terrible   ;0;clar cuand vim torment electr tuv apag \u0001f62c \u0001f62c \u0001f62c horn siest dios terribl;claro cuando vimo tormenta electrica tuvimo apagarlo \u0001f62c \u0001f62c \u0001f62c horno siesta dio terrible;claro cuando vimos tormenta electrica tuvimos apagarlo       horno siesta dios terrible;              \U0001f62c \U0001f62c \U0001f62c        
hola queres venir mirar serie dormir con lluvia  enviar ;1;hol quer ven mir seri dorm con lluvi envi;hola quere venir mirar serie dormir con lluvia enviar;hola queres venir mirar serie dormir con lluvia enviar;                 
que tormenta saque todo malo  alivie corazon ;1;que torment saqu tod mal alivi corazon;que tormenta saque todo malo alivie corazon;que tormenta saque todo malo alivie corazon;             
pronostico domingo       calido humedo  nubosidad aumento  baja probabilidad tormentas aisladas tarde  viento leve sector norte rotando sur  leve ascenso  max     ;0;pronost doming cal humed nub aument baj probabil torment aisl tard vient lev sector nort rot sur lev ascens max;pronostico domingo calido humedo nubosidad aumento baja probabilidad tormenta aislada tarde viento leve sector norte rotando sur leve ascenso max;pronostico domingo calido humedo nubosidad aumento baja probabilidad tormentas aisladas tarde viento leve sector norte rotando sur leve ascenso max;                                       
por lluvia  derrumbo techo escuela argüello   via  ;0;por lluvi derrumb tech escuel argüell via;por lluvia derrumbo techo escuela argüello via;por lluvia derrumbo techo escuela argüello via;             
toda familia diciendome hay tipo tornado huinca  yo aca sentada mitad patio comiendo alto asado con complejo  salud  \U0001f942 ;0;tod famili dic hay tip torn huinc yo aca sent mit pati com alto asad con complej salud \u0001f942;toda familia diciendome hay tipo tornado huinca yo aca sentada mitad patio comiendo alto asado con complejo salud \u0001f942;toda familia diciendome hay tipo tornado huinca yo aca sentada mitad patio comiendo alto asado con complejo salud  ;                                    \U0001f942
ya entendimos nos va partir rayo  si no nos parten ustedes basta ;0;ya entend nos va part ray si no nos part usted bast;ya entendimo no va partir rayo si no no parten ustede basta;ya entendimos nos va partir rayo si no nos parten ustedes basta;                       
re salir correr con lluvia ;1;re sal corr con lluvi;re salir correr con lluvia;re salir correr con lluvia;         
que hermosos truenos escucho aunque odio  pero largue;1;que hermos truen escuch aunqu odi per larg;que hermoso trueno escucho aunque odio pero largue;que hermosos truenos escucho aunque odio pero largue;               
uno queriendo ver famosa lluvia estrellas cielo mas nublado abuela bruno ;0;uno quer ver famos lluvi estrell ciel mas nubl abuel brun;uno queriendo ver famosa lluvia estrella cielo mas nublado abuela bruno;uno queriendo ver famosa lluvia estrellas cielo mas nublado abuela bruno;                     
emilia dice desearia dormir abajo lluvia como amo  \U0001f60d ;0;emili dic deseari dorm abaj lluvi com amo \u0001f60d;emilia dice desearia dormir abajo lluvia como amo \u0001f60d;emilia dice desearia dormir abajo lluvia como amo  ;                \U0001f60d
mi papa rescato medio lluvia piedras perrita preñada estaba super asustada papa todo bueno mundo ;0;mi pap rescat medi lluvi piedr perrit preñ estab sup asust pap tod buen mund;mi papa rescato medio lluvia piedra perrita preñada estaba super asustada papa todo bueno mundo;mi papa rescato medio lluvia piedras perrita preñada estaba super asustada papa todo bueno mundo;                             
es increible con    años no supere miedo truenos ;0;es increibl con años no super mied truen;e increible con año no supere miedo trueno;es increible con años no supere miedo truenos;               
alarma lluvia          vos decis  ;0;alarm lluvi vos decis;alarma lluvia vo deci;alarma lluvia vos decis;       
loco onda tormenta barrio cayeron   gotas locas otros lados dicen caía diluvios ;0;loc onda torment barri cayeron got loc otros lad dic cai diluvi;loco onda tormenta barrio cayeron gota loca otro lado dicen caía diluvio;loco onda tormenta barrio cayeron gotas locas otros lados dicen caía diluvios;                       
 castillos  duendes  toman cerveza  llueve todo año  paraiso  ;0;castill duend tom cervez lluev tod año parais;castillo duende toman cerveza llueve todo año paraiso;castillos duendes toman cerveza llueve todo año paraiso;               
jornada momentaneamente suspendida lluvia  \u2614  \u2614  \u2614   ;1;jorn momentan suspend lluvi \u2614 \u2614 \u2614;jornada momentaneamente suspendida lluvia \u2614 \u2614 \u2614;jornada momentaneamente suspendida lluvia      ;        \u2614 \u2614 \u2614
 lluvia bendicion dicen  mientras no sea bendicion con patitas todo bienvenido  ;0;lluvi bendicion dic mientr no sea bendicion con patit tod bienven;lluvia bendicion dicen mientra no sea bendicion con patita todo bienvenido;lluvia bendicion dicen mientras no sea bendicion con patitas todo bienvenido;                     
 caiga rayo     \U0001f329  \U0001f329  \U0001f329  \u26c8  \u26c8  \u26c8  \u26c8  \U0001f32a  \U0001f32a  \U0001f32a  \u26a1 \u26a1 \u26a1 \u26a1 ;0;caig ray \u0001f329 \u0001f329 \u0001f329 \u26c8 \u26c8 \u26c8 \u26c8 \u0001f32 \u0001f32 \u0001f32 \u26a1 \u26a1 \u26a1 \u26a1;caiga rayo \u0001f329 \u0001f329 \u0001f329 \u26c8 \u26c8 \u26c8 \u26c8 \u0001f32a \u0001f32a \u0001f32a \u26a1 \u26a1 \u26a1 \u26a1;caiga rayo                            ;    \U0001f329 \U0001f329 \U0001f329 \u26c8 \u26c8 \u26c8 \u26c8 \U0001f32a \U0001f32a \U0001f32a \u26a1 \u26a1 \u26a1 \u26a1
tormenta electrica santa fe capital desde octavo piso hotel  ;1;torment electr sant fe capital desd octav pis hotel;tormenta electrica santa fe capital desde octavo piso hotel;tormenta electrica santa fe capital desde octavo piso hotel;                 
se viene lluvia mierda  ;0;se vien lluvi mierd;se viene lluvia mierda;se viene lluvia mierda;       
calles anegadas cortes luz tormenta parana   ;0;call aneg cort luz torment paran;calle anegada corte luz tormenta parana;calles anegadas cortes luz tormenta parana;           
lpm   amo lluvia pero porque domingo noche  alta paja levantarse ir escuela otro dia \U0001f616 ;0;lpm amo lluvi per porqu doming noch alta paj levant ir escuel otro dia \u0001f616;lpm amo lluvia pero porque domingo noche alta paja levantarse ir escuela otro dia \u0001f616;lpm amo lluvia pero porque domingo noche alta paja levantarse ir escuela otro dia  ;                            \U0001f616
ni llueve encima  \U0001f602 ;0;ni lluev encim \u0001f602;ni llueve encima \u0001f602;ni llueve encima  ;      \U0001f602
como amo dias con lluvia ;0;com amo dias con lluvi;como amo dia con lluvia;como amo dias con lluvia;         
hermosa lluvia dormir abrazando almohada ;1;hermos lluvi dorm abraz almoh;hermosa lluvia dormir abrazando almohada;hermosa lluvia dormir abrazando almohada;         
la lluvia no buena estan operadas \U0001f623 ;0;la lluvi no buen estan oper \u0001f623;la lluvia no buena estan operada \u0001f623;la lluvia no buena estan operadas  ;            \U0001f623
yo empapada lluvia  ;0;yo empap lluvi;yo empapada lluvia;yo empapada lluvia;     
lluvia mierda  moje todo cuando estaba caminando ahora saliendo sol ;1;lluvi mierd moj tod cuand estab camin ahor sal sol;lluvia mierda moje todo cuando estaba caminando ahora saliendo sol;lluvia mierda moje todo cuando estaba caminando ahora saliendo sol;                   
 pavon pronostico lunes    noviembre \U0001f327 \u26c8 nuboso lluvias tormentas  algunas localmente pueden superar      viento        con rafagas  cambiando norte hacia noche  temperatura minima     maxima     humedad       bajando       ;0;pavon pronost lun noviembr \u0001f327 \u26c8 nubos lluvi torment algun local pued super vient con rafag cambi nort haci noch temperatur minim maxim humed baj;pavon pronostico lune noviembre \u0001f327 \u26c8 nuboso lluvia tormenta alguna localmente pueden superar viento con rafaga cambiando norte hacia noche temperatura minima maxima humedad bajando;pavon pronostico lunes noviembre     nuboso lluvias tormentas algunas localmente pueden superar viento con rafagas cambiando norte hacia noche temperatura minima maxima humedad bajando;        \U0001f327 \u26c8                                      
me voy quemar divertido para esperar lluvia entonces  \U0001f648 ;0;me voy quem divert par esper lluvi entonc \u0001f648;me voy quemar divertido para esperar lluvia entonce \u0001f648;me voy quemar divertido para esperar lluvia entonces  ;                \U0001f648
hola  queres venir dormir siesta conmigo con ruido lluvia fondo  enviar ;0;hol quer ven dorm siest conmig con ruid lluvi fond envi;hola quere venir dormir siesta conmigo con ruido lluvia fondo enviar;hola queres venir dormir siesta conmigo con ruido lluvia fondo enviar;                     
 tormenta  ;0;torment;tormenta;tormenta; 
si hoy llueve voy lutos ya ;0;si hoy lluev voy lut ya;si hoy llueve voy luto ya;si hoy llueve voy lutos ya;           
que onda minas estan todo tiempo tuiteando  \u201c quiero chongo dormir con lluvia \u201d  \u201c quiero chongo tomar birras \u201d  \u201c quiero novio salir hacer after juntos \u201d culiada sali buscarte uno twitter no vas conseguir deja romper huevos ;0;que onda min estan tod tiemp tuit \u201c quier chong dorm con lluvi \u201d \u201c quier chong tom birr \u201d \u201c quier novi sal hac after junt \u201d culi sali buscart uno twitt no vas consegu dej romp huev;que onda mina estan todo tiempo tuiteando \u201c quiero chongo dormir con lluvia \u201d \u201c quiero chongo tomar birra \u201d \u201c quiero novio salir hacer after junto \u201d culiada sali buscarte uno twitter no va conseguir deja romper huevo;que onda minas estan todo tiempo tuiteando   quiero chongo dormir con lluvia     quiero chongo tomar birras     quiero novio salir hacer after juntos   culiada sali buscarte uno twitter no vas conseguir deja romper huevos;              \u201c           \u201d \u201c         \u201d \u201c             \u201d                      
no habra olvidado alguien subir foto granizo   \U0001f632 ;0;no habr olvid algui sub fot graniz \u0001f632;no habra olvidado alguien subir foto granizo \u0001f632;no habra olvidado alguien subir foto granizo  ;              \U0001f632
mas ganas lluvia aire fresco aca cielo cubierto posibilidad vuelva llover  menos mañana  asi amanece pero nota termometro  mucho mas abajo durante     ;0;mas gan lluvi air fresc aca ciel cubiert posibil vuelv llov men mañan asi amanec per not termometr much mas abaj durant;mas gana lluvia aire fresco aca cielo cubierto posibilidad vuelva llover meno mañana asi amanece pero nota termometro mucho mas abajo durante;mas ganas lluvia aire fresco aca cielo cubierto posibilidad vuelva llover menos mañana asi amanece pero nota termometro mucho mas abajo durante;                                           
